"","Level_A","Level_B","Level_C","KO_ID","Description"
"1",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00844"," HK; hexokinase [EC:2.7.1.1]"
"2",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K12407"," GCK; glucokinase [EC:2.7.1.2]"
"3",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00845"," glk; glucokinase [EC:2.7.1.2]"
"4",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K25026"," glk; glucokinase [EC:2.7.1.2]"
"5",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01810"," GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
"6",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K06859"," pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
"7",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13810"," tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]"
"8",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15916"," pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]"
"9",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K24182"," PFK9; 6-phosphofructokinase [EC:2.7.1.11]"
"10",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00850"," pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
"11",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K16370"," pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]"
"12",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K21071"," pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
"13",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00918"," pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]"
"14",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00895"," pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
"15",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K03841"," FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
"16",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K02446"," glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
"17",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K11532"," glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"18",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01086"," fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"19",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K04041"," fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
"20",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01623"," ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"21",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K11645"," fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"22",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01624"," FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"23",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01622"," K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
"24",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K16305"," K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]"
"25",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K16306"," K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
"26",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01803"," TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
"27",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00134"," GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
"28",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K10705"," GAPDHS; glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]"
"29",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00150"," gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]"
"30",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00927"," PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
"31",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01834"," PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"32",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15634"," gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"33",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15633"," gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
"34",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15635"," apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
"35",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01689"," ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]"
"36",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K27394"," ENO4; enolase 4 [EC:4.2.1.11]"
"37",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00873"," PK, pyk; pyruvate kinase [EC:2.7.1.40]"
"38",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K12406"," PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]"
"39",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01006"," ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
"40",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01007"," pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
"41",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00163"," aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"42",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00161"," PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
"43",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00162"," PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
"44",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00627"," DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
"45",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00382"," DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
"46",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13997"," PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex"
"47",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00169"," porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"48",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00170"," porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"49",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00172"," porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"50",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00189"," vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]"
"51",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00171"," porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"52",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K03737"," por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"53",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00174"," korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"54",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00175"," korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"55",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
"56",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01568"," PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]"
"57",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13951"," ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]"
"58",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13980"," ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1]"
"59",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00121"," frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"60",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13952"," ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1]"
"61",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K04072"," adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"
"62",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13953"," adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
"63",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13954"," yiaY; alcohol dehydrogenase [EC:1.1.1.1]"
"64",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K18857"," ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]"
"65",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K28615"," adh; alcohol / (R,R)-butanediol / aldehyde dehydrogenase [EC:1.1.1.1 1.1.1.4 1.2.1.3]"
"66",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00001"," E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"67",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00002"," AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"68",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K12957"," ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]"
"69",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K13979"," yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"70",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K14028"," mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
"71",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K14029"," mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"
"72",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00114"," exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"
"73",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K04022"," eutG; alcohol dehydrogenase"
"74",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K22473"," adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]"
"75",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K22474"," adhB; alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"
"76",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00128"," ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"77",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K14085"," ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]"
"78",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00149"," ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]"
"79",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00129"," ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]"
"80",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00138"," aldB; aldehyde dehydrogenase [EC:1.2.1.-]"
"81",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01895"," ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
"82",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01913"," AAE7, ACN1; acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]"
"83",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01905"," acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]"
"84",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K22224"," acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]"
"85",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K24012"," acdAB; acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]"
"86",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01785"," galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
"87",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01085"," agp; glucose-1-phosphatase [EC:3.1.3.10]"
"88",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K20866"," yihX; glucose-1-phosphatase [EC:3.1.3.10]"
"89",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01835"," pgm; phosphoglucomutase [EC:5.4.2.2]"
"90",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15778"," pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"
"91",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15779"," PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]"
"92",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01084"," G6PC; glucose-6-phosphatase [EC:3.1.3.9]"
"93",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00886"," ppgK; polyphosphate glucokinase [EC:2.7.1.63]"
"94",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K08074"," ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]"
"95",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01792"," E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"
"96",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01837"," BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]"
"97",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K03103"," MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
"98",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K11389"," gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]"
"99",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00131"," gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"100",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K18978"," gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]"
"101",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01596"," E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
"102",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01610"," pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
"103",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01222"," E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"104",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01223"," E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"105",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K02777"," crr; sugar PTS system EIIA component [EC:2.7.1.-]"
"106",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K02779"," ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]"
"107",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K02791"," malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]"
"108",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K20118"," ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]"
"109",NA,"09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K02753"," ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]"
"110",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01647"," CS, gltA; citrate synthase [EC:2.3.3.1]"
"111",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K05942"," E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]"
"112",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01659"," prpC; 2-methylcitrate synthase [EC:2.3.3.5]"
"113",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K27797"," MCSA; 2-methylcitrate synthase [EC:2.3.3.5]"
"114",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01648"," ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]"
"115",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K15230"," aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]"
"116",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K15231"," aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]"
"117",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01681"," ACO; aconitate hydratase [EC:4.2.1.3]"
"118",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K27802"," acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"119",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01682"," acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"120",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
"121",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00030"," IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"122",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K17753"," HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]"
"123",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00164"," OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"124",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00658"," DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
"125",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01616"," kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]"
"126",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00382"," DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
"127",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00174"," korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"128",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00175"," korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"129",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00177"," korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"130",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00176"," korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"131",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01902"," sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]"
"132",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01903"," sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]"
"133",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01899"," LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]"
"134",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K01900"," LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]"
"135",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K18118"," aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
"136",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00234"," SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"137",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00235"," SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
"138",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00236"," SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
"139",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K00237"," SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit"
"140",NA,"09101 Carbohydrate metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020]","K25801"," SDH4; succinate dehydrogenase (ubiquinone) subunit 4"
