"","Geneid"
"403","g6101"
"404","g14118"
"405","g5841"
"406","g7444"
"407","g9357"
"408","g19681"
"409","g15701"
"410","g3111"
"411","g17221"
"412","g1773"
"413","g10055"
"414","g9054"
"415","g2854"
"416","g11863"
"417","g12528"
"418","g15603"
"419","g2272"
"420","g9537"
"421","g11447"
"422","g18248"
"423","g6827"
"424","g19605"
"425","g18853"
"426","g12290"
"427","g8455"
"428","g17778"
"429","g11485"
"430","g836"
"431","g5802"
"432","g7743"
"433","g12562"
"434","g6945"
"435","g10273"
"436","g12206"
"437","g11393"
"438","g6869"
"439","g10223"
"440","g19521"
"441","g1157"
"442","g1259"
"443","g47"
"444","g9603"
"445","g13574"
"446","g15161"
"447","g14139"
"448","g8641"
"449","g16684"
"450","g7797"
"451","g877"
"452","g13791"
"453","g10286"
"454","g13229"
"455","g11348"
"456","g12497"
"457","g9659"
"458","g18370"
"459","g5138"
"460","g12756"
"461","g13714"
"462","g1192"
"463","g19580"
"464","g9684"
"465","g17634"
"466","g8474"
"467","g8662"
"468","g15515"
"469","g2729"
"470","g322"
"471","g13681"
"472","g5582"
"473","g11500"
"474","g18416"
"475","g17828"
"476","g5289"
"477","g16310"
"478","g19220"
"479","g12849"
"480","g9582"
"481","g15163"
"482","g2645"
"483","g11474"
"484","g11756"
"485","g7443"
"486","g5413"
"487","g10561"
"488","g14417"
"489","g15487"
"490","g6923"
"491","g13228"
"492","g16918"
"493","g8493"
"494","g12824"
"495","g9073"
"496","g5787"
"497","g12530"
"498","g10989"
"499","g8119"
"500","g4675"
