Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000085	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	vverm_g16111.t1, vverm_g16107.t1, vverm_g1041.t1, vverm_g16110.t1, vverm_g8420.t1, vverm_g8419.t1, vverm_g9949.t1, vverm_g9640.t1, vverm_g9639.t2, vverm_g9639.t1, vverm_g9636.t1, vverm_g9636.t2, vverm_g9637.t1, vverm_g13453.t1, vverm_g13451.t1, vverm_g1569.t2, vverm_g1569.t1, vverm_g11047.t1, vverm_g13450.t1, vverm_g11402.t1, vverm_g1314.t1, vverm_g15629.t1, vverm_g16066.t1, vverm_g476.t1
OG0000091	acastellanii_g4765.t1	vverm_g15865.t1
OG0000091	acastellanii_g7496.t1	vverm_g8989.t1
OG0000091	acastellanii_g1337.t1	vverm_g9098.t3, vverm_g9098.t1
OG0000091	acastellanii_g7077.t1	vverm_g2854.t1
OG0000091	acastellanii_g9199.t1, acastellanii_g10866.t1	vverm_g7378.t1
OG0000092	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	vverm_g1076.t1, vverm_g5346.t1, vverm_g9523.t2, vverm_g15902.t1, vverm_g9523.t1, vverm_g15903.t2, vverm_g15903.t1, vverm_g12847.t1, vverm_g2917.t1, vverm_g2962.t1, vverm_g2961.t1, vverm_g9713.t2, vverm_g9713.t1, vverm_g2684.t2, vverm_g2684.t1, vverm_g1682.t1, vverm_g8296.t1, vverm_g8297.t1, vverm_g5652.t1
OG0000093	acastellanii_g6680.t1	vverm_g1077.t1, vverm_g6780.t1
OG0000099	acastellanii_g5646.t1	vverm_g4829.t1, vverm_g1960.t1, vverm_g1960.t2
OG0000099	acastellanii_g11277.t1, acastellanii_g3290.t1	vverm_g11651.t1
OG0000099	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	vverm_g13257.t1, vverm_g743.t1
OG0000107	acastellanii_g2122.t1	vverm_g5782.t1, vverm_g719.t2, vverm_g719.t1
OG0000107	acastellanii_g6136.t1	vverm_g10341.t1
OG0000107	acastellanii_g1565.t1, acastellanii_g357.t1	vverm_g5786.t1, vverm_g11396.t1, vverm_g9567.t1, vverm_g12148.t1
OG0000117	acastellanii_g7990.t1	vverm_g4696.t2
OG0000117	acastellanii_g14219.t1, acastellanii_g14219.t2	vverm_g14778.t1, vverm_g14778.t2
OG0000117	acastellanii_g5065.t1, acastellanii_g5066.t1, acastellanii_g5069.t1, acastellanii_g5067.t1, acastellanii_g3181.t1, acastellanii_g13322.t1	vverm_g4821.t1
OG0000123	acastellanii_g9182.t1	vverm_g12202.t1
OG0000123	acastellanii_g11358.t1	vverm_g16856.t1
OG0000123	acastellanii_g13234.t1	vverm_g5951.t1
OG0000123	acastellanii_g953.t1	vverm_g8984.t1
OG0000124	acastellanii_g11567.t1	vverm_g4924.t1
OG0000124	acastellanii_g11844.t1, acastellanii_g11844.t2	vverm_g2721.t1
OG0000124	acastellanii_g5449.t2, acastellanii_g5449.t1	vverm_g6287.t1
OG0000125	acastellanii_g11868.t1	vverm_g1812.t1, vverm_g15122.t1, vverm_g12340.t1, vverm_g11318.t1, vverm_g2082.t1, vverm_g2082.t2, vverm_g11770.t1, vverm_g11770.t3, vverm_g13104.t2
OG0000126	acastellanii_g4574.t1	vverm_g3450.t1
OG0000126	acastellanii_g3820.t1, acastellanii_g3778.t1	vverm_g6700.t1, vverm_g7198.t1, vverm_g7155.t1, vverm_g11110.t1, vverm_g7338.t1, vverm_g4322.t1
OG0000126	acastellanii_g7935.t1, acastellanii_g7363.t1, acastellanii_g6883.t1, acastellanii_g6884.t1, acastellanii_g7938.t1, acastellanii_g10194.t1	vverm_g9958.t1
OG0000127	acastellanii_g3489.t1	vverm_g1930.t1
OG0000127	acastellanii_g1391.t1, acastellanii_g589.t1	vverm_g11790.t1, vverm_g11790.t2, vverm_g15702.t2, vverm_g15702.t1
OG0000147	acastellanii_g5769.t1, acastellanii_g5769.t2	vverm_g1152.t1, vverm_g1152.t2
OG0000147	acastellanii_g5643.t2, acastellanii_g5643.t1	vverm_g6795.t1
