Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	17	17
OG0000318	17	17
OG0000319	17	17
OG0000320	17	17
OG0000321	17	17
OG0000322	17	17
OG0000323	17	17
OG0000324	17	17
OG0000325	9	9
OG0000326	15	15
OG0000327	15	15
OG0000328	8	7
OG0000329	12	12
OG0000330	12	12
OG0000331	6	5
OG0000332	16	16
OG0000333	8	7
OG0000334	9	9
OG0000335	8	7
OG0000336	10	9
OG0000337	14	14
OG0000338	12	12
OG0000339	10	10
OG0000340	15	15
OG0000341	15	15
OG0000342	16	16
OG0000343	10	10
OG0000344	13	13
OG0000345	14	14
OG0000346	14	14
OG0000347	15	15
OG0000348	16	16
OG0000349	16	16
OG0000350	16	16
OG0000351	16	16
OG0000352	16	16
OG0000353	16	16
OG0000354	16	16
OG0000355	16	16
OG0000356	9	9
OG0000357	8	6
OG0000358	8	8
OG0000359	7	7
OG0000360	5	5
OG0000361	6	5
OG0000362	13	13
OG0000363	9	9
OG0000364	7	6
OG0000365	9	9
OG0000366	10	10
OG0000367	10	10
OG0000368	8	7
OG0000369	9	8
OG0000370	11	11
OG0000371	11	11
OG0000372	11	11
OG0000373	10	10
OG0000374	15	15
OG0000375	15	15
OG0000376	14	14
OG0000377	11	11
OG0000378	9	9
OG0000379	7	7
OG0000380	11	11
OG0000381	10	10
OG0000382	13	13
OG0000383	10	10
OG0000384	14	14
OG0000385	15	15
OG0000386	15	15
OG0000387	15	15
OG0000388	15	15
OG0000389	15	15
OG0000390	15	15
OG0000391	15	15
OG0000392	15	15
OG0000393	7	7
OG0000394	14	14
OG0000395	10	10
OG0000396	8	6
OG0000397	6	5
OG0000398	6	6
OG0000399	6	4
OG0000400	9	9
OG0000401	14	14
OG0000402	7	6
OG0000403	6	6
OG0000404	6	6
OG0000405	9	9
OG0000406	7	7
OG0000407	9	9
OG0000408	7	7
OG0000409	7	6
OG0000410	12	12
OG0000411	11	11
OG0000412	12	12
OG0000413	13	13
OG0000414	9	9
OG0000415	9	9
OG0000416	13	13
OG0000417	12	12
OG0000418	11	11
OG0000419	9	9
OG0000420	14	14
OG0000421	11	11
OG0000422	12	12
OG0000423	8	8
OG0000424	12	12
OG0000425	13	13
OG0000426	14	14
OG0000427	14	14
OG0000428	14	14
OG0000429	14	14
OG0000430	14	14
OG0000431	14	14
OG0000432	14	14
OG0000433	14	14
OG0000434	14	14
OG0000435	5	5
OG0000436	5	4
OG0000437	13	13
