Orthogroup	vvermcdc19_braker	acastellanii_braker
OG0000126	vverm_g6700.t1, vverm_g7198.t1, vverm_g7155.t1, vverm_g11110.t1, vverm_g7338.t1, vverm_g4322.t1	acastellanii_g3820.t1, acastellanii_g3778.t1
OG0000126	vverm_g9958.t1	acastellanii_g7935.t1, acastellanii_g7363.t1, acastellanii_g6883.t1, acastellanii_g6884.t1, acastellanii_g7938.t1, acastellanii_g10194.t1
OG0000127	vverm_g1930.t1	acastellanii_g3489.t1
OG0000127	vverm_g11790.t1, vverm_g11790.t2, vverm_g15702.t2, vverm_g15702.t1	acastellanii_g1391.t1, acastellanii_g589.t1
OG0000147	vverm_g1152.t1, vverm_g1152.t2	acastellanii_g5769.t1, acastellanii_g5769.t2
OG0000147	vverm_g6795.t1	acastellanii_g5643.t2, acastellanii_g5643.t1
OG0000153	vverm_g6282.t1, vverm_g14095.t1, vverm_g14323.t2, vverm_g14323.t1, vverm_g4727.t2, vverm_g4727.t1, vverm_g7826.t1, vverm_g7826.t2, vverm_g8650.t1, vverm_g7649.t1, vverm_g8102.t1, vverm_g1341.t1, vverm_g1346.t1, vverm_g14193.t1, vverm_g15488.t1, vverm_g6010.t1	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1
OG0000160	vverm_g3191.t1, vverm_g3191.t2	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1
OG0000160	vverm_g9783.t1	acastellanii_g2497.t1, acastellanii_g1235.t1
OG0000161	vverm_g2760.t1	acastellanii_g2726.t1, acastellanii_g2740.t1
OG0000161	vverm_g13183.t1, vverm_g3254.t1, vverm_g9757.t1	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1
OG0000162	vverm_g1509.t3, vverm_g1509.t1, vverm_g7894.t1	acastellanii_g5170.t1
OG0000162	vverm_g3949.t1, vverm_g3949.t2, vverm_g144.t1	acastellanii_g6076.t1
OG0000171	vverm_g15650.t1	acastellanii_g14034.t1
OG0000171	vverm_g2344.t1	acastellanii_g6384.t1, acastellanii_g604.t1
OG0000171	vverm_g591.t1	acastellanii_g11241.t2, acastellanii_g11241.t1
OG0000171	vverm_g11232.t1	acastellanii_g5405.t1
OG0000181	vverm_g2856.t1, vverm_g13822.t1, vverm_g2035.t2, vverm_g2035.t1, vverm_g172.t1	acastellanii_g9394.t1, acastellanii_g9394.t2, acastellanii_g14187.t2, acastellanii_g14187.t1, acastellanii_g12699.t1, acastellanii_g12694.t1, acastellanii_g669.t1
OG0000182	vverm_g16829.t1, vverm_g10460.t1, vverm_g2731.t1	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1
OG0000182	vverm_g14447.t1	acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1
OG0000191	vverm_g1348.t1, vverm_g1348.t2	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1
OG0000192	vverm_g5558.t1, vverm_g9985.t1, vverm_g9500.t1	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1
OG0000193	vverm_g4298.t1	acastellanii_g4136.t1, acastellanii_g4188.t1, acastellanii_g8975.t1, acastellanii_g3359.t1, acastellanii_g8593.t1, acastellanii_g8306.t1, acastellanii_g2588.t1, acastellanii_g5855.t1, acastellanii_g7861.t1, acastellanii_g102.t1, acastellanii_g9509.t1, acastellanii_g9582.t1, acastellanii_g9580.t4, acastellanii_g9580.t1, acastellanii_g9580.t3, acastellanii_g9580.t2, acastellanii_g2986.t1
OG0000193	vverm_g3265.t2, vverm_g3265.t1	acastellanii_g13271.t1
OG0000194	vverm_g8300.t1	acastellanii_g5200.t1
OG0000195	vverm_g5928.t1, vverm_g5928.t2, vverm_g16260.t1, vverm_g11571.t1, vverm_g6221.t1, vverm_g15102.t1, vverm_g13912.t1, vverm_g13915.t1, vverm_g13914.t1	acastellanii_g4908.t1
OG0000205	vverm_g2563.t1	acastellanii_g9954.t1
OG0000205	vverm_g13016.t1	acastellanii_g10686.t1
OG0000205	vverm_g6793.t1	acastellanii_g4180.t1, acastellanii_g3116.t1, acastellanii_g10497.t1
OG0000206	vverm_g9973.t1, vverm_g11149.t1, vverm_g9032.t1, vverm_g11147.t1, vverm_g11148.t1, vverm_g12068.t2, vverm_g12068.t1, vverm_g13895.t1, vverm_g6746.t1, vverm_g7847.t1, vverm_g9031.t1, vverm_g250.t1, vverm_g257.t1	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1
OG0000223	vverm_g3851.t1, vverm_g16053.t1, vverm_g8646.t1, vverm_g2639.t1, vverm_g2432.t1	acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1
OG0000224	vverm_g15095.t1	acastellanii_g12501.t1, acastellanii_g6420.t1, acastellanii_g6420.t2
