Orthogroup	vvermcdc19_braker	acastellanii_braker
OG0001232	vverm_g3837.t1	acastellanii_g5905.t1
OG0001233	vverm_g15596.t1, vverm_g3172.t1	acastellanii_g5812.t1, acastellanii_g1217.t2, acastellanii_g1217.t1
OG0001234	vverm_g1792.t1	acastellanii_g3472.t2, acastellanii_g3472.t1, acastellanii_g5854.t2, acastellanii_g5854.t1
OG0001235	vverm_g8358.t1, vverm_g1765.t1	acastellanii_g4875.t1, acastellanii_g5390.t1
OG0001236	vverm_g12211.t1	acastellanii_g5360.t2, acastellanii_g5360.t1
OG0001237	vverm_g5157.t1, vverm_g5157.t2	acastellanii_g5221.t1
OG0001238	vverm_g13368.t2, vverm_g13368.t1	acastellanii_g5227.t1
OG0001239	vverm_g16393.t1, vverm_g12675.t1	acastellanii_g4902.t2, acastellanii_g4902.t1
OG0001240	vverm_g8561.t3, vverm_g8561.t1, vverm_g8561.t2	acastellanii_g4716.t1
OG0001241	vverm_g8977.t1	acastellanii_g4725.t1, acastellanii_g1799.t1
OG0001242	vverm_g11695.t1, vverm_g11695.t2	acastellanii_g2642.t1, acastellanii_g4520.t1
OG0001243	vverm_g10852.t1, vverm_g9976.t2	acastellanii_g4492.t1
OG0001244	vverm_g15012.t1, vverm_g15012.t2	acastellanii_g4397.t2, acastellanii_g4397.t1, acastellanii_g4397.t3, acastellanii_g4395.t1
OG0001245	vverm_g663.t2, vverm_g663.t1	acastellanii_g4457.t1, acastellanii_g4457.t2
OG0001246	vverm_g754.t1, vverm_g13267.t1, vverm_g754.t2, vverm_g8184.t1	acastellanii_g4146.t1
OG0001247	vverm_g7298.t3, vverm_g7298.t4, vverm_g7298.t2, vverm_g7298.t1	acastellanii_g4161.t1, acastellanii_g4161.t2, acastellanii_g4161.t3
OG0001248	vverm_g3185.t1, vverm_g3184.t1	acastellanii_g4250.t2, acastellanii_g4250.t1
OG0001249	vverm_g3151.t2, vverm_g3151.t1	acastellanii_g298.t1, acastellanii_g4301.t1, acastellanii_g300.t1, acastellanii_g300.t2
OG0001250	vverm_g3293.t1	acastellanii_g4304.t1, acastellanii_g4304.t2, acastellanii_g4304.t3, acastellanii_g4304.t4
OG0001251	vverm_g7975.t1	acastellanii_g4003.t1, acastellanii_g927.t1, acastellanii_g2773.t1, acastellanii_g2773.t2
OG0001252	vverm_g12414.t1, vverm_g14510.t1	acastellanii_g3975.t1
OG0001253	vverm_g8712.t1	acastellanii_g3419.t1
OG0001254	vverm_g10036.t2, vverm_g10036.t1	acastellanii_g3272.t3, acastellanii_g3272.t1, acastellanii_g3272.t2
OG0001255	vverm_g4922.t1, vverm_g4916.t1, vverm_g4920.t1, vverm_g4915.t1, vverm_g4914.t1, vverm_g5027.t1	acastellanii_g3217.t1
OG0001256	vverm_g8957.t1, vverm_g8957.t2	acastellanii_g3042.t1
OG0001257	vverm_g1978.t1, vverm_g6048.t1	acastellanii_g3100.t1
OG0001258	vverm_g10729.t2, vverm_g10729.t1	acastellanii_g1858.t1, acastellanii_g2799.t1, acastellanii_g2799.t2
OG0001259	vverm_g8931.t1	acastellanii_g2699.t1
OG0001261	vverm_g11853.t1, vverm_g12808.t1	acastellanii_g2659.t2, acastellanii_g2659.t1, acastellanii_g2387.t1
OG0001262	vverm_g5454.t1	acastellanii_g2607.t1, acastellanii_g2607.t2, acastellanii_g643.t1
OG0001263	vverm_g13089.t1, vverm_g13064.t1, vverm_g35.t1, vverm_g10470.t1	acastellanii_g1880.t1, acastellanii_g1880.t2
OG0001264	vverm_g644.t1	acastellanii_g2133.t1
OG0001264	vverm_g15645.t1	acastellanii_g831.t1
OG0001265	vverm_g11865.t2, vverm_g11865.t1	acastellanii_g1761.t1, acastellanii_g1761.t2
OG0001266	vverm_g352.t1, vverm_g352.t2	acastellanii_g1740.t1, acastellanii_g1740.t2
OG0001268	vverm_g4101.t1	acastellanii_g803.t2, acastellanii_g803.t1
OG0001269	vverm_g14106.t1, vverm_g14106.t2	acastellanii_g884.t1, acastellanii_g884.t2, acastellanii_g309.t1
OG0001270	vverm_g11508.t1	acastellanii_g676.t1
OG0001271	vverm_g11829.t2, vverm_g11829.t1	acastellanii_g634.t1, acastellanii_g634.t2
OG0001272	vverm_g2166.t1, vverm_g2033.t1	acastellanii_g270.t1
OG0001273	vverm_g10820.t1	acastellanii_g73.t2, acastellanii_g73.t1, acastellanii_g73.t3
OG0001369	vverm_g10691.t1, vverm_g15809.t1	acastellanii_g7699.t2, acastellanii_g7699.t1, acastellanii_g14215.t1, acastellanii_g12262.t1, acastellanii_g1459.t1
OG0001370	vverm_g2766.t1	acastellanii_g14203.t1, acastellanii_g10418.t1
OG0001371	vverm_g9009.t1, vverm_g1689.t1	acastellanii_g14145.t1, acastellanii_g12977.t1
OG0001372	vverm_g8811.t1	acastellanii_g14105.t2, acastellanii_g14105.t1
OG0001374	vverm_g1544.t2, vverm_g1544.t1, vverm_g1775.t1, vverm_g1775.t2	acastellanii_g13560.t1
OG0001375	vverm_g1947.t1, vverm_g1947.t2	acastellanii_g3457.t1, acastellanii_g13566.t1
OG0001376	vverm_g12276.t1	acastellanii_g13581.t1
OG0001376	vverm_g9318.t1	acastellanii_g9119.t1
OG0001377	vverm_g9843.t1, vverm_g9843.t2, vverm_g11591.t2, vverm_g11591.t1, vverm_g4372.t1	acastellanii_g13670.t1
OG0001378	vverm_g946.t2, vverm_g946.t1	acastellanii_g13681.t1
OG0001379	vverm_g12367.t2, vverm_g12367.t1	acastellanii_g9968.t1, acastellanii_g13724.t1, acastellanii_g13725.t1
OG0001380	vverm_g11984.t1	acastellanii_g13739.t1
OG0001381	vverm_g4816.t1	acastellanii_g13833.t1
OG0001384	vverm_g11077.t1	acastellanii_g13903.t1
OG0001384	vverm_g11083.t1	acastellanii_g12872.t1
OG0001385	vverm_g8429.t1, vverm_g8429.t2	acastellanii_g13388.t1
OG0001385	vverm_g4376.t1	acastellanii_g11660.t1, acastellanii_g13909.t1
OG0001386	vverm_g6764.t1	acastellanii_g13921.t1
OG0001387	vverm_g2904.t3, vverm_g2904.t1	acastellanii_g13974.t1
OG0001388	vverm_g4240.t1	acastellanii_g12272.t1, acastellanii_g12272.t2, acastellanii_g13977.t1
OG0001389	vverm_g4728.t2, vverm_g4728.t1	acastellanii_g14010.t3, acastellanii_g14010.t2, acastellanii_g14010.t1
OG0001390	vverm_g12084.t1	acastellanii_g6303.t1, acastellanii_g14019.t2, acastellanii_g14019.t1, acastellanii_g10754.t1
OG0001390	vverm_g12144.t1	acastellanii_g2378.t1
OG0001391	vverm_g8154.t1	acastellanii_g14024.t1, acastellanii_g3425.t1, acastellanii_g1370.t1, acastellanii_g4557.t1
OG0001392	vverm_g4836.t1, vverm_g4836.t2	acastellanii_g14038.t1, acastellanii_g5825.t1
OG0001393	vverm_g11834.t1	acastellanii_g14061.t1, acastellanii_g14061.t2
OG0001394	vverm_g12316.t1, vverm_g12317.t1	acastellanii_g14079.t1
OG0001395	vverm_g9595.t1	acastellanii_g13514.t1
OG0001396	vverm_g4423.t1	acastellanii_g6789.t1, acastellanii_g13525.t1
OG0001397	vverm_g8705.t1	acastellanii_g13494.t1
OG0001398	vverm_g4866.t1	acastellanii_g13067.t1, acastellanii_g13067.t2, acastellanii_g4245.t2, acastellanii_g4245.t1
OG0001399	vverm_g7475.t1	acastellanii_g13077.t1
OG0001400	vverm_g4898.t1, vverm_g8354.t1	acastellanii_g1729.t1, acastellanii_g13090.t2, acastellanii_g13090.t1
OG0001401	vverm_g16266.t1, vverm_g12138.t1	acastellanii_g13103.t1
OG0001402	vverm_g8214.t1	acastellanii_g13112.t1, acastellanii_g896.t1, acastellanii_g4281.t1
OG0001403	vverm_g15552.t1	acastellanii_g13116.t2, acastellanii_g13116.t1, acastellanii_g13116.t4, acastellanii_g13116.t3
OG0001406	vverm_g13179.t2, vverm_g13179.t1, vverm_g10030.t1	acastellanii_g13298.t1, acastellanii_g13298.t2
OG0001407	vverm_g5797.t1, vverm_g5797.t2	acastellanii_g13320.t1, acastellanii_g13320.t3, acastellanii_g13320.t2
OG0001408	vverm_g8019.t1	acastellanii_g12720.t1, acastellanii_g12727.t1, acastellanii_g13354.t1
OG0001409	vverm_g7893.t1, vverm_g10276.t1	acastellanii_g5426.t1
OG0001409	vverm_g12196.t1	acastellanii_g13375.t1, acastellanii_g9170.t1
OG0001410	vverm_g11969.t1	acastellanii_g13395.t1, acastellanii_g13395.t2
OG0001411	vverm_g6467.t1	acastellanii_g12636.t1, acastellanii_g13416.t1, acastellanii_g3326.t1
OG0001413	vverm_g2197.t1	acastellanii_g1800.t1, acastellanii_g13046.t1
OG0001414	vverm_g4577.t3, vverm_g4577.t2, vverm_g4577.t1	acastellanii_g13016.t1
OG0001415	vverm_g14262.t1	acastellanii_g9130.t1, acastellanii_g13022.t1, acastellanii_g13022.t2
OG0001416	vverm_g6887.t2, vverm_g6887.t1, vverm_g6886.t1	acastellanii_g11774.t1, acastellanii_g13027.t1
OG0001418	vverm_g7714.t1, vverm_g7715.t1	acastellanii_g9914.t1, acastellanii_g12982.t1
OG0001419	vverm_g159.t1	acastellanii_g12997.t1, acastellanii_g6767.t1, acastellanii_g6766.t1, acastellanii_g5262.t1, acastellanii_g1805.t1
OG0001420	vverm_g4053.t1	acastellanii_g12974.t1, acastellanii_g7293.t1
OG0001421	vverm_g1208.t1	acastellanii_g12858.t2, acastellanii_g12858.t1
OG0001422	vverm_g12104.t1	acastellanii_g12868.t1
OG0001423	vverm_g734.t1	acastellanii_g12798.t1, acastellanii_g159.t1, acastellanii_g12797.t1
OG0001424	vverm_g4430.t1	acastellanii_g12750.t1, acastellanii_g12750.t2
OG0001424	vverm_g12017.t1	acastellanii_g6702.t1
OG0001425	vverm_g5234.t1, vverm_g5234.t2, vverm_g8691.t2, vverm_g8691.t1	acastellanii_g12625.t1
OG0001426	vverm_g9867.t1	acastellanii_g12532.t1, acastellanii_g1702.t1, acastellanii_g1702.t2, acastellanii_g12532.t2
OG0001427	vverm_g16930.t1, vverm_g16930.t2	acastellanii_g12540.t1, acastellanii_g11780.t1, acastellanii_g11780.t2, acastellanii_g12540.t2
OG0001428	vverm_g5753.t1, vverm_g5574.t1	acastellanii_g12567.t1
OG0001429	vverm_g3815.t1	acastellanii_g12469.t1
OG0001430	vverm_g16201.t1	acastellanii_g12506.t2, acastellanii_g12506.t1
OG0001430	vverm_g1651.t1	acastellanii_g7454.t1
OG0001431	vverm_g6082.t2, vverm_g6082.t1	acastellanii_g12400.t1
OG0001432	vverm_g1633.t1, vverm_g1633.t2, vverm_g1633.t3	acastellanii_g12384.t1, acastellanii_g5294.t1
OG0001435	vverm_g2278.t1	acastellanii_g5109.t1, acastellanii_g12361.t1, acastellanii_g6355.t1
OG0001436	vverm_g3618.t1	acastellanii_g12346.t1, acastellanii_g11542.t1, acastellanii_g11543.t1
OG0001437	vverm_g9283.t1, vverm_g9298.t1	acastellanii_g11067.t1, acastellanii_g12319.t1
OG0001438	vverm_g1281.t1	acastellanii_g11810.t1, acastellanii_g3945.t1
OG0001439	vverm_g15944.t1, vverm_g5682.t1, vverm_g7445.t1	acastellanii_g11812.t1, acastellanii_g11827.t1
OG0001440	vverm_g1451.t1, vverm_g1455.t1, vverm_g7561.t1	acastellanii_g11867.t1
OG0001442	vverm_g1351.t1, vverm_g1351.t2	acastellanii_g11892.t1
OG0001443	vverm_g8315.t1	acastellanii_g11906.t1
OG0001444	vverm_g5399.t1	acastellanii_g8016.t1, acastellanii_g11967.t1
OG0001446	vverm_g15981.t1	acastellanii_g11980.t1
OG0001447	vverm_g9622.t1	acastellanii_g9950.t1, acastellanii_g11983.t1, acastellanii_g199.t1, acastellanii_g200.t1, acastellanii_g201.t1, acastellanii_g8371.t1, acastellanii_g4928.t1
OG0001448	vverm_g7523.t2, vverm_g7523.t1, vverm_g7523.t3	acastellanii_g11991.t1
OG0001449	vverm_g1273.t1, vverm_g1273.t2	acastellanii_g1450.t1, acastellanii_g12003.t1, acastellanii_g12003.t2
OG0001450	vverm_g819.t2, vverm_g819.t1	acastellanii_g8556.t1, acastellanii_g12028.t1, acastellanii_g12028.t2
OG0001451	vverm_g692.t1	acastellanii_g11487.t1, acastellanii_g8841.t2, acastellanii_g8841.t1, acastellanii_g12032.t1
OG0001453	vverm_g14853.t1	acastellanii_g12090.t1
OG0001454	vverm_g14136.t1	acastellanii_g3844.t1, acastellanii_g12128.t1
OG0001455	vverm_g3073.t1, vverm_g2693.t1	acastellanii_g12217.t1, acastellanii_g12217.t2
OG0001456	vverm_g693.t1	acastellanii_g599.t1, acastellanii_g12259.t2, acastellanii_g12259.t1, acastellanii_g11363.t1
OG0001457	vverm_g8744.t1	acastellanii_g3980.t1, acastellanii_g12274.t3, acastellanii_g12274.t2, acastellanii_g12274.t1
OG0001458	vverm_g9140.t1	acastellanii_g11211.t1, acastellanii_g12301.t1, acastellanii_g80.t1
OG0001459	vverm_g1554.t2, vverm_g1554.t1	acastellanii_g4258.t1, acastellanii_g11794.t1
OG0001460	vverm_g13577.t3, vverm_g13577.t1, vverm_g13577.t2	acastellanii_g11768.t1, acastellanii_g9671.t1, acastellanii_g9673.t1
OG0001461	vverm_g1161.t2, vverm_g1161.t1	acastellanii_g11631.t1
OG0001462	vverm_g14285.t1, vverm_g14285.t2	acastellanii_g11682.t1
OG0001463	vverm_g15248.t2, vverm_g15248.t1	acastellanii_g11702.t1
OG0001464	vverm_g4116.t2, vverm_g4116.t1	acastellanii_g11703.t1, acastellanii_g11703.t2
OG0001465	vverm_g4244.t1	acastellanii_g11723.t1
OG0001465	vverm_g4245.t1	acastellanii_g7191.t1
OG0001466	vverm_g7335.t1, vverm_g861.t1	acastellanii_g4585.t1
OG0001466	vverm_g13909.t1	acastellanii_g11725.t1
OG0001467	vverm_g13970.t1, vverm_g11734.t1	acastellanii_g11546.t1, acastellanii_g11546.t2
OG0001467	vverm_g15385.t1	acastellanii_g2798.t1
OG0001468	vverm_g14707.t1, vverm_g15165.t1	acastellanii_g2776.t1, acastellanii_g11562.t1, acastellanii_g2777.t1
OG0001469	vverm_g7722.t1	acastellanii_g11433.t1, acastellanii_g11433.t2
OG0001470	vverm_g9922.t1	acastellanii_g11449.t2, acastellanii_g11449.t1
OG0001471	vverm_g12324.t1, vverm_g15768.t1	acastellanii_g11477.t1
OG0001472	vverm_g11675.t1	acastellanii_g11384.t1, acastellanii_g11382.t1
OG0001473	vverm_g13528.t1, vverm_g13528.t2, vverm_g445.t2	acastellanii_g11278.t1, acastellanii_g11278.t2
OG0001474	vverm_g672.t1	acastellanii_g11266.t1
OG0001475	vverm_g7339.t1, vverm_g7347.t1	acastellanii_g11177.t1
OG0001476	vverm_g14027.t1, vverm_g5912.t1, vverm_g14028.t1, vverm_g5911.t1	acastellanii_g11189.t1
OG0001477	vverm_g4939.t2, vverm_g4939.t3, vverm_g4939.t1	acastellanii_g11230.t1
OG0001478	vverm_g628.t1	acastellanii_g11237.t2, acastellanii_g11237.t1
OG0001479	vverm_g11413.t1	acastellanii_g10969.t1, acastellanii_g920.t1, acastellanii_g920.t2
OG0001480	vverm_g3841.t1	acastellanii_g5385.t1, acastellanii_g10983.t1, acastellanii_g4644.t1, acastellanii_g5093.t1
OG0001481	vverm_g14799.t2, vverm_g14799.t1	acastellanii_g10991.t1, acastellanii_g10987.t1
OG0001482	vverm_g13982.t1	acastellanii_g10996.t1
OG0001483	vverm_g1165.t1	acastellanii_g11010.t1
OG0001485	vverm_g11682.t1	acastellanii_g11133.t1, acastellanii_g11132.t1
OG0001486	vverm_g8600.t1	acastellanii_g10896.t1
OG0001487	vverm_g2771.t2, vverm_g2771.t1	acastellanii_g10907.t1
OG0001488	vverm_g10572.t1, vverm_g10752.t1, vverm_g10752.t2, vverm_g6396.t1	acastellanii_g10708.t1
OG0001489	vverm_g12281.t2, vverm_g12281.t1	acastellanii_g10717.t1
OG0001490	vverm_g5176.t1	acastellanii_g10762.t1
OG0001491	vverm_g3805.t1, vverm_g8761.t1	acastellanii_g10785.t1
OG0001493	vverm_g14321.t1, vverm_g1794.t1	acastellanii_g9990.t1, acastellanii_g10661.t1, acastellanii_g8675.t1, acastellanii_g378.t1
OG0001494	vverm_g13591.t1, vverm_g13591.t3	acastellanii_g10580.t1, acastellanii_g4103.t1
OG0001495	vverm_g996.t2, vverm_g996.t1, vverm_g12113.t1, vverm_g12113.t2	acastellanii_g10444.t1
OG0001496	vverm_g4409.t1	acastellanii_g10271.t1, acastellanii_g6482.t1, acastellanii_g6482.t2
OG0001497	vverm_g14647.t2, vverm_g14647.t1	acastellanii_g8696.t1, acastellanii_g10308.t2, acastellanii_g10308.t1
OG0001498	vverm_g9349.t1, vverm_g5099.t1	acastellanii_g10318.t1
OG0001499	vverm_g13391.t1, vverm_g13390.t1	acastellanii_g10350.t1, acastellanii_g9856.t1
OG0001500	vverm_g533.t2, vverm_g533.t1	acastellanii_g10395.t1
OG0001501	vverm_g6843.t1, vverm_g1885.t1, vverm_g6295.t1	acastellanii_g10402.t1
OG0001502	vverm_g12200.t2, vverm_g12200.t1	acastellanii_g10080.t1
OG0001503	vverm_g8200.t1, vverm_g1713.t1, vverm_g4202.t1	acastellanii_g9875.t1, acastellanii_g10112.t1
OG0001504	vverm_g13538.t1, vverm_g451.t1, vverm_g1045.t1	acastellanii_g10144.t1, acastellanii_g10144.t2
OG0001505	vverm_g14065.t2, vverm_g5874.t2, vverm_g5874.t1, vverm_g14065.t1	acastellanii_g10172.t1
OG0001506	vverm_g6619.t1, vverm_g10.t1, vverm_g10.t2	acastellanii_g5599.t1, acastellanii_g10191.t1
OG0001507	vverm_g835.t2, vverm_g835.t1	acastellanii_g10217.t1
OG0001508	vverm_g6478.t1, vverm_g5502.t1, vverm_g7907.t1	acastellanii_g5562.t3, acastellanii_g5562.t1, acastellanii_g5562.t2, acastellanii_g5565.t1, acastellanii_g10220.t1
OG0001509	vverm_g1278.t1	acastellanii_g9978.t1, acastellanii_g9977.t1, acastellanii_g4840.t1, acastellanii_g4840.t2
OG0001510	vverm_g1606.t1, vverm_g5313.t1	acastellanii_g9679.t1
OG0001511	vverm_g10322.t1	acastellanii_g9686.t1
OG0001512	vverm_g3104.t1, vverm_g3104.t2	acastellanii_g9748.t1
OG0001513	vverm_g480.t2, vverm_g480.t1	acastellanii_g9758.t1
OG0001514	vverm_g14268.t2, vverm_g14268.t1	acastellanii_g9761.t1
OG0001515	vverm_g7356.t1	acastellanii_g9763.t1
OG0001515	vverm_g7360.t1	acastellanii_g1166.t1
OG0001516	vverm_g9265.t1, vverm_g14546.t1	acastellanii_g9770.t1
OG0001516	vverm_g13950.t1	acastellanii_g2960.t1
OG0001517	vverm_g10856.t1, vverm_g6463.t1	acastellanii_g9781.t1, acastellanii_g9785.t1
OG0001518	vverm_g14806.t1, vverm_g12936.t1	acastellanii_g9852.t1, acastellanii_g9852.t2, acastellanii_g9852.t3
OG0001519	vverm_g12423.t1	acastellanii_g9874.t1
OG0001520	vverm_g10865.t1, vverm_g9203.t1, vverm_g2.t1	acastellanii_g9885.t1
OG0001521	vverm_g14426.t1	acastellanii_g9947.t1, acastellanii_g9947.t2
OG0001522	vverm_g15938.t1, vverm_g5054.t1	acastellanii_g9363.t1, acastellanii_g9363.t2
OG0001523	vverm_g11921.t1, vverm_g5154.t1	acastellanii_g9392.t1
OG0001524	vverm_g12398.t1	acastellanii_g9404.t1
OG0001525	vverm_g842.t1	acastellanii_g9452.t1, acastellanii_g9452.t2
OG0001525	vverm_g843.t1	acastellanii_g4189.t1
OG0001526	vverm_g8004.t1	acastellanii_g9472.t1
OG0001527	vverm_g14869.t2, vverm_g14869.t1	acastellanii_g9491.t3, acastellanii_g9491.t2, acastellanii_g9491.t1
OG0001528	vverm_g10892.t1, vverm_g10893.t1	acastellanii_g9513.t1
OG0001529	vverm_g3753.t1, vverm_g15759.t2, vverm_g15759.t1, vverm_g15759.t3	acastellanii_g9305.t2, acastellanii_g9305.t1
OG0001530	vverm_g1943.t1	acastellanii_g9306.t1
OG0001531	vverm_g16506.t1, vverm_g12035.t1	acastellanii_g9282.t1
OG0001532	vverm_g12099.t1	acastellanii_g9272.t1, acastellanii_g9272.t2
OG0001533	vverm_g9809.t1	acastellanii_g9257.t3, acastellanii_g9257.t2, acastellanii_g9257.t1
OG0001534	vverm_g1537.t1, vverm_g484.t1, vverm_g485.t2, vverm_g485.t1	acastellanii_g9233.t1
OG0001535	vverm_g14288.t1, vverm_g14288.t2	acastellanii_g9187.t1
OG0001536	vverm_g5274.t2, vverm_g5274.t1	acastellanii_g5976.t1
OG0001537	vverm_g12403.t1	acastellanii_g8737.t1, acastellanii_g8737.t2
OG0001538	vverm_g7345.t1, vverm_g855.t1, vverm_g855.t2	acastellanii_g8746.t1, acastellanii_g3190.t1
OG0001539	vverm_g3551.t1	acastellanii_g8764.t1
OG0001540	vverm_g15664.t2, vverm_g15664.t1	acastellanii_g8783.t1
OG0001542	vverm_g10527.t1, vverm_g10527.t2	acastellanii_g8806.t1, acastellanii_g8806.t2
OG0001543	vverm_g10070.t1	acastellanii_g8825.t1
OG0001544	vverm_g12052.t5	acastellanii_g8850.t1, acastellanii_g851.t1, acastellanii_g117.t1, acastellanii_g4074.t1, acastellanii_g4065.t1, acastellanii_g7451.t1, acastellanii_g8848.t1
OG0001545	vverm_g15352.t1, vverm_g15263.t1	acastellanii_g8860.t1
OG0001546	vverm_g6784.t1	acastellanii_g3821.t1, acastellanii_g8890.t1
OG0001547	vverm_g5012.t1	acastellanii_g8897.t1, acastellanii_g8897.t2, acastellanii_g8897.t3
OG0001548	vverm_g4767.t2, vverm_g4767.t1	acastellanii_g8937.t1
OG0001549	vverm_g2708.t1	acastellanii_g8950.t1, acastellanii_g4735.t1
OG0001550	vverm_g8567.t1, vverm_g8567.t2	acastellanii_g9000.t1
OG0001552	vverm_g9626.t1	acastellanii_g7198.t1, acastellanii_g8641.t2, acastellanii_g8641.t1
OG0001553	vverm_g12723.t2, vverm_g12723.t1	acastellanii_g3055.t1
OG0001553	vverm_g2422.t1	acastellanii_g8661.t1
OG0001554	vverm_g14777.t2	acastellanii_g8467.t1
OG0001555	vverm_g14938.t3	acastellanii_g8508.t1
OG0001555	vverm_g4057.t1, vverm_g13582.t2, vverm_g13582.t1, vverm_g14938.t2, vverm_g14938.t1	acastellanii_g4244.t1
OG0001557	vverm_g720.t1, vverm_g16942.t1	acastellanii_g8021.t1
OG0001558	vverm_g1515.t1	acastellanii_g8037.t1, acastellanii_g8037.t2, acastellanii_g8034.t1, acastellanii_g2505.t1, acastellanii_g8032.t1, acastellanii_g8031.t1
OG0001559	vverm_g15348.t2, vverm_g15348.t1	acastellanii_g8064.t2, acastellanii_g8064.t1
OG0001560	vverm_g14645.t1	acastellanii_g8086.t1, acastellanii_g8086.t2
OG0001561	vverm_g16681.t1	acastellanii_g3920.t1, acastellanii_g7185.t1, acastellanii_g7185.t2, acastellanii_g8171.t1
OG0001562	vverm_g14658.t1	acastellanii_g8187.t1
OG0001563	vverm_g15329.t2, vverm_g15329.t1	acastellanii_g8217.t1
OG0001564	vverm_g12792.t1, vverm_g12792.t2	acastellanii_g8338.t1, acastellanii_g7519.t1
OG0001565	vverm_g14675.t1, vverm_g6844.t1, vverm_g1062.t1, vverm_g1062.t2	acastellanii_g5791.t1, acastellanii_g8377.t1, acastellanii_g4007.t1
OG0001566	vverm_g3005.t1	acastellanii_g7981.t1, acastellanii_g7981.t2
OG0001568	vverm_g12266.t1	acastellanii_g7941.t1, acastellanii_g7939.t2, acastellanii_g7939.t1
OG0001569	vverm_g11446.t1	acastellanii_g7758.t1, acastellanii_g7758.t2
OG0001570	vverm_g9370.t1	acastellanii_g7833.t2, acastellanii_g7833.t1
OG0001571	vverm_g14772.t1, vverm_g5715.t1	acastellanii_g7858.t1
OG0001572	vverm_g328.t1	acastellanii_g7881.t1, acastellanii_g7883.t1, acastellanii_g7883.t2
OG0001573	vverm_g4700.t1, vverm_g11182.t1, vverm_g268.t1	acastellanii_g7884.t1
OG0001574	vverm_g14835.t1	acastellanii_g7892.t3, acastellanii_g7892.t1, acastellanii_g5632.t1
OG0001575	vverm_g3608.t1	acastellanii_g4836.t1, acastellanii_g4997.t1, acastellanii_g7716.t1
OG0001576	vverm_g6279.t1	acastellanii_g1899.t1, acastellanii_g7704.t3, acastellanii_g7704.t1
OG0001577	vverm_g13741.t1, vverm_g13741.t2, vverm_g13741.t3	acastellanii_g7652.t1
OG0001578	vverm_g15545.t1	acastellanii_g7676.t1
OG0001579	vverm_g397.t1	acastellanii_g7636.t1
OG0001580	vverm_g7670.t1, vverm_g7670.t2, vverm_g10380.t1, vverm_g7672.t2, vverm_g7672.t1, vverm_g7671.t2, vverm_g7671.t1	acastellanii_g7550.t1
OG0001581	vverm_g12021.t1, vverm_g12021.t2	acastellanii_g315.t1, acastellanii_g7557.t1
OG0001582	vverm_g3752.t1	acastellanii_g7500.t1
OG0001583	vverm_g15426.t1	acastellanii_g4422.t2, acastellanii_g1922.t1
OG0001584	vverm_g15465.t1, vverm_g15461.t1	acastellanii_g7509.t1
OG0001585	vverm_g230.t1, vverm_g14980.t1	acastellanii_g7471.t3
OG0001586	vverm_g7616.t1	acastellanii_g7489.t1, acastellanii_g3247.t1, acastellanii_g3246.t1
OG0001587	vverm_g12223.t1	acastellanii_g7359.t2, acastellanii_g7359.t3, acastellanii_g7359.t1
OG0001589	vverm_g15077.t2, vverm_g15077.t1	acastellanii_g7239.t1, acastellanii_g2027.t1
OG0001590	vverm_g7034.t1	acastellanii_g7121.t1, acastellanii_g6994.t1
OG0001591	vverm_g16451.t1, vverm_g16451.t2	acastellanii_g7015.t1
OG0001592	vverm_g11555.t1, vverm_g16385.t1	acastellanii_g7021.t1
OG0001593	vverm_g12683.t1	acastellanii_g7093.t1
OG0001594	vverm_g7035.t1, vverm_g7035.t2	acastellanii_g7102.t1, acastellanii_g7102.t2
OG0001595	vverm_g6990.t1	acastellanii_g7111.t2, acastellanii_g7111.t1
OG0001596	vverm_g3018.t1	acastellanii_g7144.t1, acastellanii_g7143.t1
OG0001597	vverm_g643.t1	acastellanii_g6506.t1, acastellanii_g7206.t1
OG0001598	vverm_g8374.t1, vverm_g8374.t2	acastellanii_g6974.t1, acastellanii_g371.t1
OG0001599	vverm_g8967.t1	acastellanii_g6803.t1
OG0001600	vverm_g11708.t1, vverm_g11708.t2, vverm_g4283.t1	acastellanii_g6896.t1
OG0001601	vverm_g3279.t1, vverm_g13722.t2, vverm_g13722.t1	acastellanii_g6907.t1
OG0001602	vverm_g5207.t1	acastellanii_g6729.t1, acastellanii_g3726.t1
OG0001603	vverm_g2573.t1	acastellanii_g6762.t1, acastellanii_g6763.t1, acastellanii_g6763.t2, acastellanii_g4982.t1
OG0001604	vverm_g5873.t1, vverm_g14066.t2, vverm_g14066.t1	acastellanii_g6700.t1
OG0001605	vverm_g8209.t1	acastellanii_g6025.t1, acastellanii_g362.t1, acastellanii_g362.t2, acastellanii_g751.t1
OG0001606	vverm_g13807.t1	acastellanii_g6039.t1
OG0001607	vverm_g6788.t1, vverm_g6788.t2	acastellanii_g6048.t1
OG0001608	vverm_g2817.t1, vverm_g2817.t2	acastellanii_g6126.t2, acastellanii_g6126.t1
OG0001609	vverm_g566.t1	acastellanii_g6127.t1
OG0001610	vverm_g10282.t1	acastellanii_g6150.t1
OG0001611	vverm_g12389.t1, vverm_g14863.t1	acastellanii_g6166.t1
OG0001612	vverm_g14976.t1, vverm_g4323.t1	acastellanii_g6258.t1
OG0001613	vverm_g12114.t1, vverm_g3047.t1, vverm_g6408.t1, vverm_g1134.t1, vverm_g2234.t1	acastellanii_g6328.t1
OG0001614	vverm_g1912.t1	acastellanii_g6398.t1
